"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"MEDIDAS JUDICIALES - LEVANTAMIENTO","2023-03-15","2015-07-01",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","2015","12","SEDAN 4 PUERTAS","08","CHEVROLET","DX","CLASSIC 4 P LS ABS+AIRBAG 1.4N","1","Privado","Física","LA UNION","BUENOS AIRES","Masculino","1975","ARGENTINA",100,"06","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-02","1988-05-16",10005,"LIB.GRAL.SAN MARTIN","Jujuy","Nacional","1988","12","SEDAN 4 PTAS","34","PEUGEOT","12","505 SR","1","Privado","Física","LDOR.GRAL.SAN MARTIN","JUJUY","No identificado","1957","ARGENTINA",100,"38","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-02","1992-07-31",8021,"CONCORDIA Nº 2","Entre Ríos","Nacional","1992","12","SEDAN 4 PUERTAS","53","VOLKSWAGEN","10","VW SENDA / 1992","1","Privado","Física","CONCORDIA - ENTRE RIOS","ENTRE RIOS","No identificado","1982","No identificado",100,"30",""
"MEDIDAS JUDICIALES - ANOTACION","2023-03-20","1973-09-04",4051,"SAN FRANCISCO Nº 2","Córdoba","Nacional","1973","12","SIN ESPECIFICACION","37","RENAULT","07","RENAULT 12","1","Privado","Física","QUEBRACHO HERRADO - CORDOBA","CORDOBA","No identificado","1969","No identificado",100,"14",""
"MEDIDAS JUDICIALES - ANOTACION","2023-03-28","1998-11-30",21027,"VENADO TUERTO Nº 1","Santa Fe","Nacional","1998","12","SEDAN 4 PTAS","37","RENAULT","DA","MEGANE RT DT TRIC ABCP","1","Privado","Física","VENADO TUERTO  SANTA FE","SANTA FE","No identificado","1933","No identificado",100,"82",""
"MEDIDAS JUDICIALES - ANOTACION","2023-03-20","2012-11-19",21025,"SUARDI","Santa Fe","Nacional","2012","12","SEDAN 4 PTAS","34","PEUGEOT","KY","408 ALLURE+ 2.0N NAV","1","Privado","Física","COLONIA ROSA","SANTA FE","Femenino","1988","ARGENTINA",100,"82","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-14","1998-07-29",17001,"CAFAYATE","Salta","Nacional","1998","12","SEDAN 4 PUERTAS","37","RENAULT","DB","RENAULT 19 RE D AA.DIREC/1998","1","Privado","Física","CAFAYATE","SALTA","Masculino","1979","ARGENTINA",100,"66","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-09","2016-03-16",1290,"LA MATANZA Nº 13","Buenos Aires","Nacional","2016","12","SEDAN 4 PUERTAS","17","FIAT","AZ","SIENA (F4) EL 1.4 8V","1","Privado","Física","SAN JUSTO","BUENOS AIRES","Masculino","1981","ARGENTINA",100,"06","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-13","1992-05-06",21023,"SANTA FE Nº 1","Santa Fe","Nacional","1992","12","SEDAN 4 PTAS","37","RENAULT","78","RENAULT 12 TL","1","Privado","Física","SANTA FE","SANTA FE","No identificado","1978","ARGENTINA",100,"82","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-02","2006-01-23",8024,"PARANA Nº 3","Entre Ríos","Nacional","2006","12","SEDAN 4 PTAS","53","VOLKSWAGEN","JT","POLO CLASSIC 1.9L SD 31A","1","Privado","Física","PARANA","ENTRE RIOS","No identificado","1960","No identificado",50,"30",""
"MEDIDAS JUDICIALES - LEVANTAMIENTO","2023-03-07","1977-02-08",21012,"RECONQUISTA Nº 1","Santa Fe","Nacional","1977","12","SEDAN 4 PTAS","17","FIAT","25","128 L","1","Privado","Física","AVELLANEDA","SANTA FE","Masculino","1991","ARGENTINA",100,"82","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-15","2012-08-22",11001,"GENERAL ACHA","La Pampa","Nacional","2012","12","SEDAN 4 PUERTAS","08","CHEVROLET","DK","CLASSIC 4 PTAS LT SPIRIT 1.4N","1","Privado","Física","GENERAL ACHA","LA PAMPA","Femenino","1980","ARGENTINA",100,"42","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-07","2012-01-10",11005,"REALICO","La Pampa","Nacional","2012","12","SEDAN 4 PTAS","34","PEUGEOT","LD","408 FELINE HDI","1","Privado","Física","REALICÓ","LA PAMPA","Masculino","1972","ARGENTINA",100,"42","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-15","1993-10-22",11003,"SANTA ROSA Nº 1","La Pampa","Nacional","1993","12","SEDAN 4 PTAS","37","RENAULT","80","RENAULT 9 GTL","1","Privado","Física","SANTA ROSA","LA PAMPA","Masculino","1988","ARGENTINA",100,"42","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-22","1994-05-23",18003,"SAN JUAN Nº 3","San Juan","Nacional","1994","12","SEDAN 4 PTAS","17","FIAT","59","DUNA SL 1.6","1","Privado","Física","RIVADAVIA","SAN JUAN","Masculino","1980","ARGENTINA",100,"70","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-08","2019-12-18",20008,"RIO GALLEGOS Nº 2","Santa Cruz","Nacional","2019","12","SEDAN 4 PUERTAS","17","FIAT","CJ","CRONOS DRIVE 1.3 MT","1","Privado","Física","RIO GALLEGOS","SANTA CRUZ","Masculino","1992","ARGENTINA",100,"78","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-14","2012-05-22",11003,"SANTA ROSA Nº 1","La Pampa","Nacional","2012","12","SEDAN 4 PTAS","34","PEUGEOT","KY","408 ALLURE+ 2.0N","1","Privado","Física","TOAY","LA PAMPA","Masculino","1981","ARGENTINA",100,"42","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-23","2015-01-20",17006,"SALTA Nº 2","Salta","Nacional","2015","12","SEDAN 4 PUERTAS","08","CHEVROLET","DX","CLASSIC 4 P LS ABS+AIRBAG 1.4N","1","Privado","Física","Bº LAMADRID","SALTA","Masculino","1992","ARGENTINA",100,"66","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-30","2018-12-21",17006,"SALTA Nº 2","Salta","Nacional","2018","12","SEDAN 4 PUERTAS","17","FIAT","CJ","CRONOS DRIVE 1.3 MT","1","Privado","Física","Bº 15 DE FEBRERO","SALTA","Masculino","1949","ARGENTINA",100,"66","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-03","2019-02-26",1250,"ITUZAINGÓ Nº 2 (EX. MORÓN Nº 11)","Buenos Aires","Nacional","2019","12","SEDAN 4 PUERTAS","37","RENAULT","2K","NUEVO LOGAN PRIVILEGE 1.6 16V","1","Privado","Física","ITUZAINGÓ","BUENOS AIRES","Masculino","1958","ARGENTINA",100,"06","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-16","2006-05-31",6001,"CHARATA","Chaco","Nacional","2006","12","SEDAN 4 PTAS","37","RENAULT","PZ","MEGANE TRI AUTHENTIQUE TD 1.9","1","Privado","Física","LAS BREÑAS","CHACO","Masculino","1961","ARGENTINA",100,"22","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-09","1994-03-24",15015,"NEUQUEN Nº 6","Neuquén","Nacional","1994","12","SEDAN 4 PTAS","37","RENAULT","88","RENAULT 21 TXI","1","Privado","Física","NEUQUEN CAPITAL","NEUQUEN","Femenino","1969","ARGENTINA",100,"58","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-29","2015-08-25",4053,"CORDOBA Nº 13","Córdoba","Nacional","2015","12","SEDAN 4 PUERTAS","08","CHEVROLET","DX","CLASSIC 4 P LS ABS+AIRBAG 1.4N","1","Privado","Física","CORDOBA","CORDOBA","Femenino","1955","ARGENTINA",100,"14","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-31","2016-03-01",15006,"NEUQUEN Nº 3","Neuquén","Nacional","2016","12","SEDAN 4 PUERTAS","08","CHEVROLET","DX","CLASSIC 4 P LS ABS+AIRBAG 1.4N","1","Privado","Jurídica","NEUQUEN","NEUQUEN","No aplica","2015","No aplica",100,"58",""
"MEDIDAS JUDICIALES - ANOTACION","2023-03-16","2007-10-31",16003,"GENERAL ROCA Nº 1","Río Negro","Nacional","2007","12","SEDAN 4 PTAS","34","PEUGEOT","HD","307 XS PREMIUM 2.0 HDI 4P 110 CV","1","Privado","Física","GRAL ROCA","RIO NEGRO","Masculino","1965","ARGENTINA",100,"62","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-14","1981-06-26",4010,"COSQUIN Nº 1","Córdoba","Nacional","1981","12","SEDAN 4 PUERTAS","19","FORD","20","TAUNUS VERSION GHIA","1","Privado","Física","SAN ROQUE","CORDOBA","Masculino","1984","ARGENTINA",100,"14","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-30","2014-06-09",2062,"CAPITAL FEDERAL Nº 062","Ciudad Autónoma de Bs.As.","Nacional","2014","12","SEDAN 4 PUERTAS","17","FIAT","AZ","SIENA (F4) EL 1.4 8V","2","Público","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1963","ARGENTINA",100,"02","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-30","2012-10-18",2062,"CAPITAL FEDERAL Nº 062","Ciudad Autónoma de Bs.As.","Nacional","2012","12","SEDAN 4 PTAS","17","FIAT","AS","SIENA FIRE 4P 1.4MPI 8V HP BZ","2","Público","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No identificado","1963","ARGENTINA",100,"02","ARG"
"MEDIDAS JUDICIALES - LEVANTAMIENTO","2023-03-30","2018-04-19",4010,"COSQUIN Nº 1","Córdoba","Nacional","2018","12","SEDAN 4 PUERTAS","37","RENAULT","2W","NUEVO LOGAN AUTHENTIQUE PLUS 1.6","1","Privado","Física","COSQUÍN","CORDOBA","Femenino","1985","ARGENTINA",100,"14","ARG"
